rule,top_1st_digit,top_2nd_digit,top_3rd_digit
rule0001,2,2.4,2.4.1
rule0002,1,1.1,1.1.1
rule0003,1,1.1,1.1.1
rule0004,1,1.14,1.14.13
rule0006,4,4.2,4.2.1
rule0007,3,3.2,3.2.1
rule0008,2,2.4,2.4.1
rule0009,2,2.4,2.4.1
rule0011,2,2.1,2.1.1
rule0012,3,3.5,3.5.1
rule0013,3,3.4,3.5.1
rule0014,2,2.7,2.7.1
rule0015,2,2.7,2.7.1
rule0016,3,3.1,3.1.3
rule0018,1,1.3,1.3.1
rule0019,4,4.2,4.2.1
rule0020,4,4.2,4.2.1
rule0021,2,2.3,2.3.1
rule0022,2,2.3,2.3.1
rule0023,4,4.1,4.1.1
rule0024,4,4.1,4.1.1
rule0025,1,1.2,1.2.1
rule0026,1,1.2,1.2.1
rule0027,1,1.3,1.3.1
rule0028,5,5.4,5.3.1
rule0029,2,2.7,2.7.8
rule0030,2,2.6,2.6.1
rule0031,2,2.6,2.6.1
rule0032,4,4.2,4.2.1
rule0034,2,2.1,2.1.1
rule0035,3,3.1,3.1.1
rule0036,2,2.7,2.7.7
rule0037,2,2.7,2.7.7
rule0039,6,6.2,6.2.1
rule0040,5,5.3,5.3.3
rule0041,2,2.3,2.3.1
rule0042,2,2.3,2.3.1
rule0043,2,2.1,2.1.1
rule0045,1,1.14,1.14.11
rule0048,2,2.8,2.8.2
rule0050,6,6.3,6.3.2
rule0051,4,4.1,4.1.2
rule0052,1,1.13,1.13.11
rule0053,4,4.1,4.1.2
rule0056,3,3.5,3.5.1
rule0057,2,2.7,2.7.99
rule0058,2,2.7,2.7.99
rule0060,3,3.1,3.1.2
rule0061,2,2.3,2.3.1
rule0062,2,2.3,2.3.1
rule0063,5,5.1,5.1.3
rule0064,5,5.1,5.1.3
rule0065,2,2.6,2.6.1
rule0067,6,6.3,6.3.2
rule0069,2,2.4,2.4.2
rule0070,4,4.2,4.2.1
rule0071,4,4.2,4.2.1
rule0073,1,1.14,1.14.13
rule0074,1,1.1,1.1.3
rule0075,2,2.3,2.3.1
rule0076,2,2.3,2.3.1
rule0077,1,1.14,1.14.13
rule0079,2,2.8,2.8.3
rule0080,1,1.1,1.1.1
rule0081,1,1.1,1.1.1
rule0083,1,1.14,1.14.13
rule0084,4,4.2,4.2.1
rule0085,3,3.7,3.7.1
rule0086,2,2.3,2.3.1
rule0087,2,2.3,2.3.1
rule0088,5,5.5,5.5.1
rule0089,2,2.5,2.5.1
rule0090,3,4.4,4.4.1
rule0092,1,1.4,1.4.3
rule0093,5,5.5,5.5.1
rule0094,1,1.14,1.14.12
rule0096,2,2.4,2.4.1
rule0097,2,2.4,2.4.1
rule0098,2,2.4,2.4.2
rule0099,2,2.4,2.4.2
rule0101,3,3.5,3.5.4
rule0102,1,1.3,1.3.1
rule0104,2,2.5,2.5.1
rule0105,2,2.5,2.5.1
rule0106,3,3.5,3.5.2
rule0107,1,1.1,1.1.1
rule0108,1,1.1,1.1.1
rule0109,1,1.3,1.3.3
rule0110,2,2.5,2.5.1
rule0111,3,3.5,3.5.2
rule0113,1,1.5,1.5.3
rule0116,2,2.3,2.3.1
rule0118,1,1.13,1.13.11
rule0119,1,1.5,1.5.1
rule0121,2,2.1,2.1.1
rule0122,2,2.7,2.7.8
rule0123,2,2.3,2.3.2
rule0125,3,3.1,3.1.4
rule0126,2,2.8,2.8.3
rule0128,3,3.1,3.1.6
rule0129,5,5.4,5.4.2
rule0130,5,5.4,5.4.99
rule0131,1,1.13,1.13.11
rule0134,1,1.14,1.14.13
rule0135,1,1.5,1.5.1
rule0136,2,2.3,2.3.3
rule0137,2,2.3,2.3.3
rule0138,4,4.2,4.2.1
rule0139,4,4.5,4.5.1
rule0142,1,1.2,1.2.1
rule0143,1,1.2,1.2.1
rule0145,1,1.2,1.2.3
rule0148,5,5.5,5.5.1
rule0150,2,2.8,2.8.3
rule0151,2,2.8,2.8.3
rule0152,2,2.8,2.8.3
rule0153,5,5.3,5.3.2
rule0154,5,5.4,5.4.99
rule0156,1,1.5,1.5.1
rule0157,1,1.5,1.5.1
rule0158,3,3.5,3.5.3
rule0159,3,3.5,3.5.3
rule0160,3,3.5,3.5.3
rule0161,3,3.5,3.5.3
rule0163,2,2.4,2.4.1
rule0164,1,1.2,1.2.1
rule0165,1,1.1,1.1.1
rule0166,1,1.4,1.4.1
rule0167,1,1.4,1.4.1
rule0168,5,5.3,5.3.1
rule0169,5,5.3,5.3.1
rule0170,6,6.2,6.2.1
rule0171,6,6.2,6.2.1
rule0172,5,5.4,5.4.3
rule0174,1,1.13,1.13.12
rule0175,5,5.3,5.3.2
rule0176,2,2.3,2.3.1
rule0179,1,1.1,1.1.1
rule0180,1,1.2,1.2.1
rule0181,2,2.5,2.5.1
rule0184,3,3.8,3.8.1
rule0185,5,5.5,5.5.1
rule0188,1,1.14,1.14.13
rule0189,3,3.1,3.1.1
rule0190,5,5.3,5.3.1
rule0191,5,5.3,5.3.1
rule0192,1,1.14,1.14.20
rule0193,1,1.3,1.3.1
rule0194,2,2.4,2.4.2
rule0195,2,2.4,2.4.2
rule0196,2,2.5,2.5.1
rule0197,2,2.5,2.5.1
rule0198,5,5.5,5.5.1
rule0200,2,2.1,2.1.1
rule0201,4,4.2,4.2.2
rule0202,1,1.8,1.8.1
rule0203,1,1.8,1.8.1
rule0204,2,2.2,2.2.1
rule0205,2,2.5,2.5.1
rule0206,2,2.5,2.5.1
rule0208,3,3.5,3.5.1
rule0209,4,4.2,4.2.1
rule0210,3,3.7,3.7.1
rule0212,4,4.2,4.2.3
rule0214,1,1.14,1.14.13
rule0216,3,3.1,3.1.7
rule0218,1,1.14,1.14.14
rule0220,4,4.2,4.2.3
rule0223,2,2.7,2.7.3
rule0224,2,2.7,2.7.3
rule0226,1,1.14,1.14.13
rule0228,2,2.1,2.1.1
rule0230,4,4.2,4.2.3
rule0233,1,1.14,1.14.11
rule0234,1,1.3,1.3.1
rule0235,1,1.5,1.5.1
rule0237,2,2.1,2.1.1
rule0238,2,2.5,2.5.1
rule0240,4,4.2,4.2.1
rule0241,4,4.2,4.2.1
rule0243,3,3.5,3.5.5
rule0244,4,4.3,4.3.1
rule0246,3,3.7,3.7.1
rule0247,2,2.5,2.5.1
rule0250,5,5.3,5.3.1
rule0254,2,2.4,2.4.1
rule0255,4,4.1,4.1.3
rule0256,4,4.1,4.1.3
rule0257,4,4.3,4.3.1
rule0259,4,4.2,4.2.3
rule0262,2,2.4,2.4.1
rule0265,1,1.13,1.13.11
rule0266,1,1.14,1.14.19
rule0267,1,1.2,1.2.1
rule0268,1,1.2,1.2.1
rule0269,1,1.2,1.2.1
rule0270,1,1.2,1.2.1
rule0272,1,1.8,1.8.4
rule0273,2,2.2,2.2.1
rule0275,2,2.3,2.3.1
rule0278,4,4.2,4.2.3
rule0279,4,4.4,4.4.1
rule0282,4,4.4,4.4.1
rule0283,2,2.3,2.3.2
rule0284,2,2.1,2.1.1
rule0285,1,1.14,1.14.16
rule0286,2,2.5,2.5.1
rule0288,1,1.3,1.3.8
rule0291,2,2.2,2.2.1
rule0293,1,1.8,1.8.1
rule0295,1,1.1,1.1.1
rule0298,2,2.3,2.3.2
rule0300,2,2.1,2.1.2
rule0301,2,2.1,2.1.2
rule0302,4,4.3,4.3.2
rule0303,4,4.3,4.3.2
rule0304,4,4.8,4.8.1
rule0306,4,4.1,4.1.99
rule0307,1,1.13,1.13.11
rule0309,1,1.3,1.3.8
rule0311,3,3.2,3.2.2
rule0315,4,4.2,4.2.3
rule0316,1,1.3,1.3.1
rule0319,4,4.2,4.2.3
rule0320,4,4.3,4.3.3
rule0324,1,1.1,1.1.99
rule0326,1,1.14,1.14.13
rule0327,1,1.14,1.14.13
rule0328,1,1.2,1.2.4
rule0329,1,1.4,1.4.4
rule0331,1,1.5,1.5.1
rule0332,1,1.5,1.5.1
rule0337,3,3.13,3.13.1
rule0338,3,3.5,3.5.4
rule0339,3,3.5,3.5.4
rule0341,4,4.3,4.3.1
rule0342,4,4.3,4.3.3
rule0344,5,5.3,5.3.2
rule0346,6,6.3,6.3.3
rule0347,1,1.1,1.1.1
rule0348,1,1.1,1.1.1
rule0349,2,2.3,2.3.1
rule0352,1,1.13,1.13.12
rule0353,4,4.1,4.1.2
rule0354,4,4.1,4.1.2
rule0355,1,1.1,1.1.5
rule0357,1,1.4,1.4.3
rule0358,1,1.1,1.1.1
rule0359,2,2.8,1.8.5
rule0360,2,2.8,2.8.4
rule0361,2,2.6,2.3.1
rule0364,4,4.2,4.2.3
rule0369,4,4.2,4.2.3
rule0372,4,4.4,4.4.1
rule0374,4,4.1,4.1.99
rule0381,1,1.14,1.14.11
rule0382,2,2.3,2.3.1
rule0383,2,2.3,2.3.1
rule0384,2,2.4,2.4.1
rule0386,6,6.3,6.3.1
rule0387,4,4.2,4.2.3
rule0389,4,4.3,4.3.1
rule0390,5,5.3,5.3.2
rule0392,5,5.4,5.4.4
rule0394,4,4.1,4.1.2
rule0395,1,1.14,1.14.13
rule0397,4,4.2,4.2.3
rule0398,1,1.3,1.3.1
rule0401,1,1.13,1.13.11
rule0403,1,1.13,1.13.11
rule0406,2,2.5,2.5.1
rule0411,1,1.11,1.11.1
rule0412,1,1.3,1.3.5
rule0414,1,1.1,1.1.98
rule0416,4,4.2,4.2.3
rule0417,2,2.5,2.5.1
rule0418,1,1.17,1.17.3
rule0420,1,1.3,1.3.5
rule0422,2,2.1,2.1.1
rule0424,1,1.14,1.14.11
rule0426,1,1.14,1.14.14
rule0427,4,4.2,4.2.1
rule0428,4,4.2,4.2.1
rule0429,2,2.5,2.5.1
rule0432,1,1.13,1.13.12
rule0434,4,4.2,4.2.1
rule0435,1,1.8,1.8.3
rule0436,4,4.4,4.4.1
rule0440,1,1.5,1.5.8
rule0442,1,1.13,1.13.11
rule0444,1,1.13,1.13.11
rule0446,1,1.13,1.13.11
rule0448,1,1.5,1.5.3
rule0449,5,5.4,5.4.99
rule0450,2,2.5,2.5.1
rule0451,4,4.1,4.1.1
rule0452,4,4.1,4.1.1
rule0454,4,4.2,4.2.1
rule0456,4,4.2,4.2.3
rule0457,4,4.2,4.2.99
rule0458,2,2.5,2.5.1
rule0461,4,4.2,4.2.99
rule0463,1,1.13,1.13.12
rule0464,4,4.2,4.2.1
rule0466,2,2.3,2.3.1
rule0467,1,1.1,1.1.5
rule0469,1,1.14,1.14.17
rule0471,1,1.1,1.1.1
rule0473,2,2.7,2.7.6
rule0475,4,4.2,4.2.1
rule0476,1,1.8,1.8.1
rule0477,1,1.8,1.8.1
rule0478,3,3.3,3.3.2
rule0480,1,1.21,1.21.4
rule0482,5,5.3,5.3.1
rule0484,4,4.3,4.3.2
rule0485,3,3.9,3.9.1
rule0489,1,1.14,1.14.13
rule0491,1,1.14,1.14.13
rule0493,4,4.2,4.2.3
rule0495,1,1.11,1.11.2
rule0498,1,1.1,1.1.99
rule0502,6,6.3,6.3.2
rule0503,2,2.4,2.4.1
rule0504,5,5.5,5.5.1
rule0508,5,5.3,5.3.3
rule0510,4,4.2,4.2.3
rule0512,2,2.4,2.4.1
rule0513,2,2.4,2.4.1
rule0515,2,2.1,2.1.1
rule0516,2,2.5,2.5.1
rule0517,2,2.5,2.5.1
rule0518,2,2.4,2.4.1
rule0520,1,1.1,1.1.1
rule0522,1,1.6,1.6.3
rule0525,1,1.3,1.3.1
rule0526,2,2.5,2.5.1
rule0529,1,1.14,1.14.13
rule0531,1,1.6,1.6.5
rule0535,4,4.2,4.2.3
rule0536,1,1.8,1.8.3
rule0538,1,1.13,1.13.11
rule0541,1,1.14,1.14.12
rule0542,1,1.1,1.1.1
rule0544,1,1.8,1.8.3
rule0546,2,2.1,2.1.1
rule0547,2,2.7,2.7.8
rule0549,4,4.6,4.6.1
rule0552,3,3.11,3.11.1
rule0553,3,3.12,3.12.1
rule0554,3,3.12,3.12.1
rule0556,4,4.1,4.1.1
rule0558,1,1.14,1.14.12
rule0560,4,4.1,4.1.3
rule0562,1,1.7,1.7.1
rule0564,5,5.5,5.5.1
rule0566,6,6.3,6.3.1
rule0569,4,4.6,4.6.1
rule0571,1,1.2,1.2.1
rule0572,1,1.7,1.7.1
rule0573,1,1.7,1.7.1
rule0574,4,4.2,4.2.1
rule0576,1,1.21,1.21.3
rule0578,4,4.1,4.1.2
rule0579,2,2.1,2.1.2
rule0580,2,2.3,2.3.1
rule0581,1,1.17,1.17.1
rule0582,1,1.17,1.17.1
rule0584,3,3.3,3.3.2
rule0585,3,3.5,3.5.4
rule0586,3,3.5,3.5.4
rule0587,1,1.1,1.1.3
rule0590,5,5.4,5.4.4
rule0591,2,2.2,2.2.1
rule0592,2,2.2,2.2.1
rule0593,1,1.1,1.1.98
rule0594,1,1.1,1.1.98
rule0597,4,4.2,4.2.3
rule0600,4,4.2,4.2.3
rule0605,3,3.6,3.6.1
rule0606,1,1.3,1.3.1
rule0607,2,2.5,2.5.1
rule0609,1,1.10,1.10.3
rule0615,4,4.2,4.2.1
rule0617,4,4.2,4.2.3
rule0620,4,4.2,4.2.1
rule0621,4,4.2,4.2.1
rule0622,4,4.2,4.2.1
rule0628,1,1.14,1.14.99
rule0630,1,1.14,1.14.14
rule0631,1,1.3,1.3.1
rule0633,5,5.5,5.5.1
rule0634,2,2.5,2.5.1
rule0637,4,4.1,4.1.1
rule0641,3,3.5,3.5.99
rule0643,6,6.3,6.3.2
rule0646,6,6.3,6.3.2
rule0649,1,1.14,1.14.14
rule0660,4,4.2,4.2.1
rule0662,1,1.14,1.14.11
rule0664,1,1.14,1.14.20
rule0666,4,4.2,4.2.3
rule0670,4,4.2,4.2.1
rule0672,4,4.2,4.2.1
rule0674,4,4.2,4.2.3
rule0676,1,1.3,1.3.3
rule0678,1,1.1,1.1.1
rule0679,1,1.1,1.1.1
rule0680,1,1.3,1.3.1
rule0682,1,1.1,1.1.3
rule0683,1,1.13,1.13.11
rule0687,1,1.14,1.14.13
rule0696,1,1.2,1.2.98
rule0697,1,1.17,1.17.8
rule0700,1,1.5,1.5.1
rule0702,1,1.5,1.5.98
rule0703,1,1.5,1.5.98
rule0704,1,1.7,1.7.1
rule0709,2,2.1,2.1.1
rule0713,2,2.1,2.1.1
rule0715,2,2.3,2.3.1
rule0716,2,2.5,2.5.1
rule0718,2,2.4,2.4.2
rule0720,2,2.5,2.5.1
rule0723,2,2.5,2.5.1
rule0725,2,2.7,2.7.3
rule0727,4,4.5,4.5.1
rule0729,4,4.2,4.2.3
rule0731,3,3.1,3.1.1
rule0733,3,3.5,3.5.1
rule0735,3,3.5,3.5.1
rule0737,3,3.5,3.5.2
rule0739,3,3.5,3.5.99
rule0740,3,3.13,3.13.1
rule0742,2,2.6,2.6.1
rule0743,2,2.6,2.6.1
rule0744,4,4.1,4.1.1
rule0747,4,4.2,4.2.3
rule0748,4,4.4,4.4.1
rule0750,5,5.3,5.3.2
rule0752,1,1.14,1.14.20
rule0753,1,1.1,1.1.1
rule0754,1,1.1,1.1.1
rule0756,6,6.2,6.2.1
rule0758,4,4.4,4.4.1
rule0759,6,6.3,6.3.4
rule0762,2,2.7,2.7.1
rule0764,6,6.3,6.3.4
rule0766,4,4.2,4.2.3
rule0767,2,2.7,2.7.7
rule0768,2,2.7,2.7.7
rule0771,5,5.1,5.1.3
rule0772,5,5.1,5.1.3
rule0773,4,4.2,4.2.1
rule0775,2,2.7,2.7.8
rule0777,3,3.10,3.10.1
rule0779,2,2.1,2.1.1
rule0781,4,4.1,4.1.1
rule0783,4,4.2,4.2.3
rule0785,4,4.3,4.3.2
rule0787,3,3.5,3.5.99
rule0790,1,1.8,1.8.3
rule0793,1,1.11,1.11.1
rule0797,4,4.2,4.2.1
rule0799,1,1.5,1.5.98
rule0800,1,1.5,1.5.98
rule0802,5,5.5,5.5.1
rule0803,2,2.3,2.3.2
rule0805,2,2.6,2.6.3
rule0806,2,2.3,2.3.1
rule0807,2,2.3,2.3.1
rule0808,5,5.4,5.4.2
rule0809,5,5.4,5.4.2
rule0811,5,5.3,5.3.99
rule0812,2,2.5,2.5.1
rule0814,2,2.8,2.8.2
rule0818,1,1.13,1.13.11
rule0821,1,1.14,1.14.13
rule0822,3,3.7,3.7.1
rule0824,1,1.11,1.11.1
rule0826,1,1.21,1.21.98
rule0827,4,4.2,4.2.3
rule0829,2,2.7,2.7.8
rule0833,1,1.5,1.5.5
rule0835,2,2.3,2.3.1
rule0836,1,1.1,1.1.1
rule0847,6,6.1,6.1.1
rule0848,3,3.1,3.1.3
rule0851,4,4.2,4.2.3
rule0853,4,4.2,4.2.3
rule0855,3,3.1,3.1.1
rule0857,3,3.2,3.2.1
rule0860,5,5.4,5.4.4
rule0865,5,5.5,5.5.1
rule0871,1,1.8,1.8.1
rule0882,4,4.2,4.2.3
rule0884,1,1.1,1.1.99
rule0891,4,4.4,4.4.1
rule0892,4,4.2,4.2.1
rule0893,5,5.4,5.4.1
rule0895,1,1.11,1.11.1
rule0896,1,1.11,1.11.1
rule0897,4,4.2,4.2.1
rule0905,2,2.3,2.3.1
rule0906,5,5.4,5.4.4
rule0908,5,5.4,5.4.4
rule0918,4,4.2,4.2.1
rule0921,1,1.14,1.14.13
rule0929,5,5.5,5.5.1
rule0933,4,4.1,4.1.1
rule0935,1,1.11,1.11.1
rule0936,5,5.4,5.4.3
rule0938,3,3.5,3.5.1
rule0944,1,1.14,1.14.13
rule0946,1,1.3,1.3.98
rule0950,4,4.8,4.8.1
rule0951,1,1.14,1.14.13
rule0952,4,4.2,4.2.1
rule0955,4,4.2,4.2.3
rule0959,1,1.14,1.14.13
rule0961,1,1.21,1.21.3
rule0963,1,1.17,1.17.3
rule0965,1,1.23,1.23.5
rule0966,2,2.8,2.8.1
rule0967,2,2.8,2.8.1
rule0969,1,1.21,1.21.3
rule0970,4,4.2,4.2.3
rule0972,1,1,1
rule0976,1,1.14,1.14.13
rule0982,1,1.14,1.14.11
rule0987,3,3.3,3.3.2
rule0990,4,4.2,4.2.1
rule0995,1,1.1,1.1.1
rule0997,1,1.17,1.17.4
rule0999,1,1.17,1.17.4
rule1003,1,1.14,1.14.12
rule1005,1,1.14,1.14.13
rule1009,1,1.21,1.21.1
rule1011,1,1.5,1.5.1
rule1013,1,1.5,1.5.1
rule1016,1,1.8,1.8.98
rule1021,2,2.5,2.5.1
rule1024,2,2.5,2.5.1
rule1025,2,2.5,2.5.1
rule1028,2,2.7,2.7.1
rule1032,3,3.2,3.2.1
rule1036,4,4.2,4.2.3
rule1038,4,4.3,4.3.1
rule1040,4,4.4,4.4.1
rule1042,5,5.3,5.3.99
rule1045,1,1.3,1.3.1
rule1052,4,4.1,4.1.1
rule1054,1,1.8,1.8.1
rule1056,2,2.5,2.5.1
rule1057,2,2.5,2.5.1
rule1059,6,6.3,6.3.3
rule1063,3,3.1,3.1.8
rule1064,1,1.13,1.13.11
rule1066,4,4.4,4.4.1
rule1067,4,4.4,4.4.1
rule1071,2,2.8,2.8.2
rule1072,4,4.4,4.4.1
rule1073,4,4.4,4.4.1
rule1080,4,4.2,4.2.3
rule1081,1,1.1,1.1.1
rule1086,2,2.7,2.7.9
rule1087,2,2.7,2.7.9
rule1088,2,2.4,2.4.1
rule1090,3,3.1,3.1.3
rule1092,4,4.1,4.1.2
rule1094,1,1.13,1.13.11
rule1097,4,4.2,4.2.1
rule1100,4,4.4,4.4.1
rule1102,3,3.5,3.5.4
rule1108,4,4.2,4.2.3
rule1111,2,2.1,2.1.1
rule1113,2,2.5,2.5.1
rule1116,1,1.2,1.2.5
rule1118,2,2.3,2.3.1
rule1120,1,1.14,1.14.12
rule1122,4,4.4,4.4.1
rule1123,2,2.5,2.5.1
rule1124,2,2.5,2.5.1
rule1127,4,4.2,4.2.1
rule1130,4,4.2,4.2.3
rule1140,4,4.2,4.2.3
rule1141,5,5.5,5.5.1
rule1149,2,2.2,2.2.1
rule1154,3,3.1,3.1.1
rule1157,2,2.7,2.7.1
rule1162,7,7.1,7.1.1
rule1165,1,1.11,1.11.2
rule1168,1,1.11,1.11.2
rule1172,1,1.14,1.14.11
rule1179,1,1.5,1.5.1
rule1181,3,3.13,3.13.1
rule1183,2,2.1,2.1.1
rule1185,2,2.5,2.5.1
rule1191,4,4.2,4.2.3
rule1192,1,1.13,1.13.11
rule1198,4,4.1,4.1.1
rule1200,4,4.2,4.2.3
rule1206,1,1.14,1.14.13
rule1208,1,1.13,1.13.11
rule1209,1,1.13,1.13.11
rule1212,1,1.14,1.14.11
rule1216,2,2.7,2.7.1
rule1217,2,2.4,2.4.2
rule1224,3,3.5,3.5.1
